station_name,starts,ends,net_flow
Harvard Square at Mass Ave/ Dunster,23985,26642,-2657
Boylston St. at Arlington St.,32410,34524,-2114
TD Garden - Causeway at Portal Park #1,17327,19098,-1771
Rowes Wharf - Atlantic Ave,25880,27596,-1716
B.U. Central - 725 Comm. Ave.,16056,17646,-1590
Post Office Square,22886,24467,-1581
Congress / Sleeper,19026,20467,-1441
Davis Square,7959,9250,-1291
Agganis Arena - 925 Comm Ave.,17005,18292,-1287
Harvard Kennedy School at Bennett St / Eliot St,10194,11400,-1206
